Account,trades_count,total_pnl,mean_pnl,median_pnl,pnl_std,win_rate,avg_size_usd,avg_size_tokens,median_size_usd,avg_fee,long_pct,active_days,first_trade,last_trade,trades_per_day,pnl_sharpe_like,cluster,pca1,pca2
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,419.1277684596647,0.0,4692.452328769434,0.3596123624934521,16159.576733892092,16.16720460974332,1348.16,1.9395789167103195,0.4481403876375065,2,2024-10-27 03:33:20,2025-02-19 21:20:00,1909.0,0.08931955811037048,2,-3.1692290323248775,-3.1302708069590346
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.32051399999,6.577653916758241,0.0,134.0734727762927,0.4427197802197802,1653.2263269230768,503.0679111779863,462.815,0.37497773194093403,0.41964285714285715,3,2024-10-27 03:33:20,2025-06-15 15:06:40,2426.6666666666665,0.04906006968084832,1,1.0147213018519097,0.5701142283805546
0x271b280974205ca63b716753467d5a371de622ab,3809,-70436.191318,-18.49204287687057,0.0,542.1826592941673,0.3019165135206091,8893.000897873459,190.60140195505383,1116.38,2.436593029666579,0.4111315305854555,4,2024-07-03 09:46:40,2025-06-15 15:06:40,952.25,-0.03410666600983545,1,0.5706818871081598,-0.9400613441226296
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,9.951529904139434,0.0,113.26935264594681,0.43858462925400044,507.6269326121253,2073.877612539164,148.31,0.16665670246043873,0.5032679738562091,3,2024-10-27 03:33:20,2025-06-15 15:06:40,4437.0,0.08785721531618143,1,1.5882567480371987,0.5033035769986899
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.00499400002,52.071011112689106,0.429,255.8290912336643,0.5199135535659154,3138.894782340228,27144.277189255943,958.55,0.9596161537511577,0.36400123494905834,3,2024-10-27 03:33:20,2025-06-15 15:06:40,1079.6666666666667,0.2035382718266762,0,-0.15312184750270183,1.75751800363318
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31203.599986000005,-38.28662574969326,0.0,558.7787526232373,0.45521472392638035,1729.9411042944785,7063.480759624074,453.96,0.18045983236809818,0.2233128834355828,7,2023-03-28 10:40:00,2025-06-15 15:06:40,116.42857142857143,-0.0685183994021842,1,0.6244583619130287,0.23574912142033383
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999999,4.02811906826414,0.0,730.4954836443899,0.32766787405962666,4790.575486207857,2399.642343477292,671.27,0.4064243873140151,0.4591808303148509,2,2024-10-27 03:33:20,2025-02-19 21:20:00,1794.5,0.005514228572869666,1,0.4480189191515196,-0.5270982106300199
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247243000005,161.13327482831326,0.0,1279.8557881354652,0.4759036144578313,3445.471265060241,1885.0344450084337,1042.145,0.530946313003012,0.5120481927710844,2,2024-10-27 03:33:20,2025-02-19 21:20:00,166.0,0.12589955549840295,0,-1.1216529752836573,0.6432832983186835
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.59273200002,520.9023308929504,0.0,2228.3361402827363,0.2349869451697128,5189.3671279373375,499.29484323759783,1268.4,0.6996529738355091,0.26370757180156656,2,2024-10-27 03:33:20,2025-02-19 21:20:00,191.5,0.23376290563902857,2,-3.4793256035400693,-0.9784644554260686
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872341,336.735547567502,0.0,1649.4975803458065,0.48423605497170574,2397.8247534357315,1454.0288268645108,646.69,0.6038859587712208,0.24413904607922393,5,2024-03-09 16:00:00,2025-06-15 15:06:40,247.4,0.20414431132230432,0,-2.1240456060450845,0.7150271633293002
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,12.130967972884141,0.0,88.29284150392714,0.35344524005164923,517.5289235825802,767.3594345362918,332.86,0.14448251217066557,0.47845991313534453,3,2024-10-27 03:33:20,2025-06-15 15:06:40,2839.6666666666665,0.13739469436312765,1,0.7810419559993411,0.6431267391047564
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.0506429999,155.58931373806243,0.0,855.3540027082561,0.48622589531680444,9084.699093204776,3668.630122662994,1395.1550000000002,1.842514323735078,0.4855371900826446,3,2024-10-27 03:33:20,2025-06-15 15:06:40,1452.0,0.18190049177934436,0,-0.6731723692861027,0.6056630691835845
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,40.740489150316456,0.0,656.693628217177,0.3603639240506329,17098.171054852322,1.3565913570108123,7755.139999999999,5.36978736853903,0.5501054852320675,5,2024-03-09 16:00:00,2025-06-15 15:06:40,1516.8,0.0620388068343539,3,0.28904868587768084,-0.9811853064580883
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,68.68441935403726,0.0,639.402443690789,0.40119320039228507,34396.58028440667,35.8179691508663,3176.315,6.245884512233572,0.5204315135665251,3,2024-10-27 03:33:20,2025-06-15 15:06:40,4078.6666666666665,0.10741970105333631,3,0.6664411962420256,-2.066122711465558
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108731.216772,111.51919668923077,0.0,468.9959817825792,0.4317948717948718,746.7256512820513,1087.551960617559,356.27,0.19162674557169232,0.3723076923076923,3,2024-10-27 03:33:20,2025-06-15 15:06:40,325.0,0.23778284041019718,0,-0.9162645036591327,1.6277011583694911
